Subject,dis_loc,SOA,acc,target,targetSquare.ACC,targetSquare.CRESP,targetSquare.RESP,targetSquare.RT,Compatability,Age,Sex
1,above,650,1,red,1,1,1,259,Compatible,20,male
1,above,350,1,red,1,1,1,381,Compatible,20,male
1,above,350,1,red,1,1,1,435,Compatible,20,male
1,above,50,2,lime,1,2,2,456,Incompatible,20,male
1,above,350,2,lime,1,2,2,419,Incompatible,20,male
1,above,650,2,lime,1,2,2,298,Incompatible,20,male
1,above,950,1,red,1,1,1,474,Compatible,20,male
1,above,950,2,lime,1,2,2,452,Incompatible,20,male
1,above,950,2,lime,1,2,2,342,Compatible,20,male
1,above,50,1,red,1,1,1,457,Incompatible,20,male
1,above,950,2,lime,1,2,2,323,Incompatible,20,male
1,above,950,1,red,1,1,1,355,Incompatible,20,male
1,above,650,2,lime,1,2,2,405,Incompatible,20,male
1,above,350,1,red,1,1,1,377,Incompatible,20,male
1,above,50,2,lime,1,2,2,451,Compatible,20,male
1,above,350,2,lime,1,2,2,381,Compatible,20,male
1,above,350,1,red,1,1,1,346,Incompatible,20,male
1,above,350,2,lime,1,2,2,385,Incompatible,20,male
1,above,50,2,lime,1,2,2,417,Compatible,20,male
1,above,650,1,red,1,1,1,313,Incompatible,20,male
1,above,650,1,red,1,1,1,325,Compatible,20,male
1,above,950,2,lime,0,2,1,397,Compatible,20,male
1,above,650,2,lime,1,2,2,439,Compatible,20,male
1,above,50,1,red,1,1,1,589,Compatible,20,male
1,above,50,1,red,1,1,1,446,Incompatible,20,male
1,above,950,1,red,1,1,1,385,Compatible,20,male
1,above,650,1,red,1,1,1,498,Incompatible,20,male
1,above,50,1,red,1,1,1,533,Compatible,20,male
1,above,950,1,red,1,1,1,460,Incompatible,20,male
1,above,350,2,lime,1,2,2,366,Compatible,20,male
1,above,650,2,lime,1,2,2,328,Compatible,20,male
1,above,50,2,lime,1,2,2,435,Incompatible,20,male
1,above,50,1,red,1,1,1,449,Compatible,20,male
1,above,650,2,lime,1,2,2,247,Incompatible,20,male
1,above,950,2,lime,1,2,2,410,Incompatible,20,male
1,above,350,2,lime,1,2,2,391,Incompatible,20,male
1,above,350,2,lime,1,2,2,291,Incompatible,20,male
1,above,50,2,lime,1,2,2,312,Compatible,20,male
1,above,650,1,red,1,1,1,380,Compatible,20,male
1,above,350,1,red,1,1,1,378,Compatible,20,male
1,above,50,2,lime,1,2,2,467,Compatible,20,male
1,above,950,1,red,1,1,1,325,Compatible,20,male
1,above,350,2,lime,1,2,2,468,Compatible,20,male
1,above,950,1,red,1,1,1,365,Compatible,20,male
1,above,950,1,red,1,1,1,387,Incompatible,20,male
1,above,950,2,lime,1,2,2,400,Incompatible,20,male
1,above,50,2,lime,1,2,2,488,Incompatible,20,male
1,above,650,1,red,1,1,1,477,Compatible,20,male
1,above,350,1,red,1,1,1,510,Incompatible,20,male
1,above,50,1,red,0,1,2,626,Incompatible,20,male
1,above,50,1,red,1,1,1,459,Compatible,20,male
1,above,350,2,lime,1,2,2,381,Compatible,20,male
1,above,650,2,lime,1,2,2,318,Compatible,20,male
1,above,950,2,lime,1,2,2,326,Compatible,20,male
1,above,650,1,red,1,1,1,353,Incompatible,20,male
1,above,650,2,lime,1,2,2,595,Compatible,20,male
1,above,650,1,red,1,1,1,324,Incompatible,20,male
1,above,50,2,lime,1,2,2,487,Incompatible,20,male
1,above,950,1,red,1,1,1,352,Incompatible,20,male
1,above,350,1,red,1,1,1,407,Incompatible,20,male
1,above,350,1,red,1,1,1,435,Compatible,20,male
1,above,650,2,lime,1,2,2,330,Incompatible,20,male
1,above,950,2,lime,1,2,2,265,Compatible,20,male
1,above,50,1,red,1,1,1,415,Incompatible,20,male
1,above,350,1,red,1,1,1,448,Incompatible,20,male
1,above,950,1,red,1,1,1,282,Compatible,20,male
1,above,650,1,red,1,1,1,343,Compatible,20,male
1,above,950,1,red,1,1,1,271,Compatible,20,male
1,above,650,2,lime,1,2,2,259,Incompatible,20,male
1,above,350,1,red,1,1,1,374,Compatible,20,male
1,above,50,1,red,1,1,1,359,Compatible,20,male
1,above,950,2,lime,1,2,2,261,Compatible,20,male
1,above,650,2,lime,1,2,2,355,Compatible,20,male
1,above,650,1,red,1,1,1,446,Compatible,20,male
1,above,950,2,lime,0,2,1,377,Compatible,20,male
1,above,350,2,lime,1,2,2,416,Compatible,20,male
1,above,650,2,lime,1,2,2,631,Incompatible,20,male
1,above,50,2,lime,1,2,2,398,Compatible,20,male
1,above,50,2,lime,1,2,2,342,Incompatible,20,male
1,above,50,1,red,1,1,1,473,Incompatible,20,male
1,above,650,1,red,0,1,2,318,Incompatible,20,male
1,above,950,2,lime,1,2,2,336,Incompatible,20,male
1,above,50,1,red,1,1,1,499,Compatible,20,male
1,above,50,2,lime,1,2,2,423,Incompatible,20,male
1,above,50,1,red,1,1,1,534,Incompatible,20,male
1,above,350,1,red,1,1,1,509,Incompatible,20,male
1,above,350,2,lime,1,2,2,414,Compatible,20,male
1,above,650,2,lime,1,2,2,573,Compatible,20,male
1,above,50,2,lime,1,2,2,366,Compatible,20,male
1,above,350,2,lime,1,2,2,420,Incompatible,20,male
1,above,950,1,red,1,1,1,343,Incompatible,20,male
1,above,950,2,lime,1,2,2,374,Incompatible,20,male
1,above,350,2,lime,1,2,2,444,Incompatible,20,male
1,above,650,1,red,1,1,1,379,Incompatible,20,male
1,above,950,1,red,1,1,1,400,Incompatible,20,male
1,above,350,1,red,1,1,1,373,Compatible,20,male
1,above,950,2,lime,1,2,2,294,Compatible,20,male
1,above,950,2,lime,1,2,2,295,Incompatible,20,male
1,above,950,2,lime,1,2,2,264,Compatible,20,male
1,above,50,2,lime,1,2,2,294,Compatible,20,male
1,above,350,2,lime,1,2,2,327,Incompatible,20,male
1,above,950,1,red,1,1,1,222,Incompatible,20,male
1,above,650,2,lime,1,2,2,342,Incompatible,20,male
1,above,50,2,lime,1,2,2,441,Compatible,20,male
1,above,950,1,red,1,1,1,404,Compatible,20,male
1,above,950,1,red,1,1,1,408,Compatible,20,male
1,above,50,1,red,1,1,1,496,Incompatible,20,male
1,above,350,2,lime,1,2,2,368,Compatible,20,male
1,above,650,1,red,1,1,1,433,Compatible,20,male
1,above,350,1,red,1,1,1,468,Compatible,20,male
1,above,350,1,red,1,1,1,510,Incompatible,20,male
1,above,50,1,red,1,1,1,434,Compatible,20,male
1,above,650,2,lime,1,2,2,321,Compatible,20,male
1,above,350,1,red,1,1,1,408,Compatible,20,male
1,above,650,1,red,1,1,1,344,Compatible,20,male
1,above,50,1,red,1,1,1,443,Compatible,20,male
1,above,950,1,red,1,1,1,390,Incompatible,20,male
1,above,650,1,red,1,1,1,447,Incompatible,20,male
1,above,650,2,lime,1,2,2,310,Compatible,20,male
1,above,650,2,lime,1,2,2,394,Incompatible,20,male
1,above,350,1,red,1,1,1,511,Incompatible,20,male
1,above,650,1,red,1,1,1,451,Incompatible,20,male
1,above,350,2,lime,1,2,2,366,Incompatible,20,male
1,above,50,2,lime,1,2,2,463,Incompatible,20,male
1,above,50,1,red,0,1,2,509,Incompatible,20,male
1,above,50,2,lime,0,2,1,427,Incompatible,20,male
1,above,950,2,lime,1,2,2,344,Incompatible,20,male
1,above,350,2,lime,1,2,2,375,Compatible,20,male
1,above,50,1,red,1,1,1,414,Incompatible,20,male
1,above,350,2,lime,1,2,2,442,Incompatible,20,male
1,above,950,1,red,1,1,1,501,Compatible,20,male
1,above,950,2,lime,1,2,2,277,Compatible,20,male
1,above,350,1,red,1,1,1,511,Compatible,20,male
1,above,650,1,red,1,1,1,363,Compatible,20,male
1,above,650,2,lime,1,2,2,277,Incompatible,20,male
1,above,650,2,lime,1,2,2,339,Incompatible,20,male
1,above,650,1,red,1,1,1,446,Compatible,20,male
1,above,50,2,lime,1,2,2,468,Incompatible,20,male
1,above,350,1,red,1,1,1,462,Incompatible,20,male
1,above,350,2,lime,1,2,2,312,Incompatible,20,male
1,above,950,2,lime,1,2,2,352,Compatible,20,male
1,above,650,1,red,1,1,1,459,Incompatible,20,male
1,above,950,1,red,1,1,1,677,Compatible,20,male
1,above,50,2,lime,1,2,2,434,Compatible,20,male
1,above,950,2,lime,1,2,2,365,Incompatible,20,male
1,above,350,1,red,1,1,1,475,Incompatible,20,male
1,above,50,1,red,1,1,1,416,Compatible,20,male
1,above,650,2,lime,1,2,2,296,Compatible,20,male
